instrument_name,timestamp,option_type,strike,mark_iv
BTC-24JUN22-25000-C,1654761163349,call,25000.0,88.86
BTC-24JUN22-25000-P,1654761164698,put,25000.0,88.86
BTC-24JUN22-30000-C,1654761165363,call,30000.0,64.87
BTC-24JUN22-30000-P,1654761166372,put,30000.0,64.87
BTC-24JUN22-35000-C,1654761167377,call,35000.0,60.49
BTC-24JUN22-35000-P,1654761167377,put,35000.0,60.49
BTC-24JUN22-40000-C,1654761168384,call,40000.0,70.12
BTC-24JUN22-40000-P,1654761169391,put,40000.0,70.12
BTC-24JUN22-45000-C,1654761170398,call,45000.0,83.11
BTC-24JUN22-45000-P,1654761171405,put,45000.0,83.11
BTC-24JUN22-50000-C,1654761172412,call,50000.0,210.0
BTC-24JUN22-50000-P,1654761173420,put,50000.0,210.0
BTC-24JUN22-55000-C,1654761174427,call,55000.0,210.0
BTC-24JUN22-55000-P,1654761174426,put,55000.0,210.0
BTC-24JUN22-60000-C,1654761175433,call,60000.0,210.0
BTC-24JUN22-60000-P,1654761176440,put,60000.0,210.0
BTC-24JUN22-65000-C,1654761177447,call,65000.0,210.0
BTC-24JUN22-65000-P,1654761177448,put,65000.0,210.0
BTC-24JUN22-70000-C,1654761178454,call,70000.0,210.0
BTC-24JUN22-70000-P,1654761179461,put,70000.0,210.0
BTC-24JUN22-75000-C,1654761180468,call,75000.0,210.0
BTC-24JUN22-75000-P,1654761180468,put,75000.0,210.0
BTC-24JUN22-80000-C,1654761181475,call,80000.0,210.0
BTC-24JUN22-80000-P,1654761182482,put,80000.0,210.0
BTC-24JUN22-100000-C,1654761183489,call,100000.0,210.0
BTC-24JUN22-100000-P,1654761183489,put,100000.0,210.0
BTC-24JUN22-150000-C,1654761184496,call,150000.0,210.0
BTC-24JUN22-150000-P,1654761185504,put,150000.0,210.0
BTC-24JUN22-200000-C,1654761186510,call,200000.0,210.0
BTC-24JUN22-200000-P,1654761187517,put,200000.0,210.0
BTC-24JUN22-250000-C,1654761187518,call,250000.0,210.0
BTC-24JUN22-250000-P,1654761188524,put,250000.0,210.0
BTC-24JUN22-25000-C,1654761312387,call,25000.0,85.2
BTC-24JUN22-25000-P,1654761313394,put,25000.0,85.3
BTC-24JUN22-30000-C,1654761313863,call,30000.0,64.7
BTC-24JUN22-30000-P,1654761314782,put,30000.0,64.7
BTC-24JUN22-35000-C,1654761316072,call,35000.0,64.64
BTC-24JUN22-35000-P,1654761316414,put,35000.0,64.65
BTC-24JUN22-40000-C,1654761317424,call,40000.0,74.91
BTC-24JUN22-40000-P,1654761318428,put,40000.0,74.91
BTC-24JUN22-45000-C,1654761319436,call,45000.0,87.49
BTC-24JUN22-45000-P,1654761320442,put,45000.0,87.57
BTC-24JUN22-50000-C,1654761320655,call,50000.0,210.0
BTC-24JUN22-50000-P,1654761321451,put,50000.0,210.0
BTC-24JUN22-55000-C,1654761322457,call,55000.0,210.0
BTC-24JUN22-55000-P,1654761323463,put,55000.0,210.0
BTC-24JUN22-60000-C,1654761324470,call,60000.0,210.0
BTC-24JUN22-60000-P,1654761325478,put,60000.0,210.0
BTC-24JUN22-65000-C,1654761326484,call,65000.0,210.0
