time,option_type,equation,constant,x_coef,x2_coef
09/06/2022 15:53,call,53.33+47.86X+91.95X**2,53.33,47.86,91.95
09/06/2022 15:55,call,57.95+50.19X+85.45X**2,57.95,50.19,85.45
09/06/2022 15:57,call,60.64+50.69X+83.07X**2,60.64,50.69,83.07
09/06/2022 15:58,call,59.59+50.94X+84.68X**2,59.59,50.94,84.68
09/06/2022 16:14,call,75.82+15.87X+33.34X**2,75.82,15.87,33.34
09/06/2022 16:16,call,76.71+12.83X+28.33X**2,76.71,12.83,28.33
09/06/2022 16:17,call,77.66+9.59X+23.38X**2,77.66,9.59,23.38
09/06/2022 16:20,call,77.83+8.07X+21.25X**2,77.83,8.07,21.25
09/06/2022 16:20,call,77.81+7.99X+21.19X**2,77.81,7.99,21.19
09/06/2022 16:21,call,77.77+7.92X+21.2X**2,77.77,7.92,21.2
