time,option_type,equation,constant,x_coef,x2_coef
09/06/2022 15:53,put,53.33+47.86X+91.95X**2,53.33,47.86,91.95
09/06/2022 15:55,put,57.96+50.17X+85.49X**2,57.96,50.17,85.49
09/06/2022 15:57,put,60.66+50.65X+83.1X**2,60.66,50.65,83.1
09/06/2022 15:58,put,59.53+50.97X+84.72X**2,59.53,50.97,84.72
09/06/2022 16:14,put,75.83+15.83X+33.28X**2,75.83,15.83,33.28
09/06/2022 16:16,put,76.73+12.79X+28.27X**2,76.73,12.79,28.27
09/06/2022 16:17,put,77.67+9.56X+23.32X**2,77.67,9.56,23.32
09/06/2022 16:20,put,77.84+8.07X+21.24X**2,77.84,8.07,21.24
09/06/2022 16:20,put,77.81+7.99X+21.19X**2,77.81,7.99,21.19
09/06/2022 16:21,put,77.76+7.92X+21.2X**2,77.76,7.92,21.2
